"library website","base url",type,"type 2",country,name,available,wildcards,funding,size,"total collection",books,Articles,Journals,gov-docs,dissertations,archival-manuscripts,newspaper-articles,magazines,"subset of","duplicate of",original,"bulk data","api endpoint","api endpoint 2","api 3",protocol,"AI Notes 1","AI Notes 2"
https://www.library.act.gov.au/,http://act.gov.au/,state,library,Australia,"ACT Heritage Library",—,no,"ACT Government",small,"~15,000 catalogued items",—,—,—,—,—,"~200 archival/manuscript collections",—,—,—,—,—,no,"not publicly available",—,—,"not publicly available","No Z39.50/API found. Collection: books/journals re ACT, ~300 archive boxes + 2,000 posters ephemera, David Coward photo collection (300,000+ negatives), 8,000+ digitised photos on 'Images ACT'. Source: Wikipedia, Directory of Archives in Australia.","Collection size: over 15,000 catalogued items, ~20,000 photographs, 4,000 maps/plans, ~200 archival/manuscript collections. Funded by ACT Government. No public Z39.50/API identified."
https://libraries.tas.gov.au/,http://tas.gov.au/,state,library,Australia,"State Library of Tasmania",—,no,"Tasmanian Government (Libraries Tasmania)",medium,"200,000+","200,000+",—,—,—,—,—,—,—,—,—,—,no,"not publicly available",—,—,"not publicly available","Part of Libraries Tasmania (50 locations statewide); legal deposit library; established 1849. No public Z39.50 endpoint found. Source: Wikipedia (State Library of Tasmania / Libraries Tasmania).","Collection: over 200,000 books, periodicals, maps, directories; ~15,000 books/manuscripts; whaling ephemera; scrimshaw collection. No Z39.50/API identified."
https://ada.edu.au/,https://ada.edu.au/,national,archive,Australia,"Australian Data Archive",yes,—,ARC,small,"~6,000 datasets",—,—,—,—,—,—,—,—,—,—,—,yes,—,—,—,"web api","Comprehensive social science data archive. Catalogue of over 6,000 data sets from >1,500 projects. API access for deposit and retrieval. Funded by ARC.",—
https://adelaide.edu.au/library/,https://adelaide.edu.au/,academic,library,Australia,"Adelaide University Library",—,yes,"University of Adelaide (public university)",medium,—,"2,000,000+",—,"11,000",—,—,—,—,—,—,—,—,yes,"ap01.alma.exlibrisgroup.com : 1921","130.220.30.132 : 7090",—,z39.50,—,"Collection: over 2 million items; 11,000 journal titles. Z39.50 access via Alma."
http://asiapacific.anu.edu.au/pambu/,https://asiapacific.anu.edu.au/,academic,archive,Australia,"Pacific Manuscripts Bureau",—,yes,"Australian National University (ANU)",small,"~2,000 titles / 4,000+ microfilms / 150,000+ digital pages",—,—,—,—,—,—,—,—,—,—,—,no,"not publicly available",—,—,"not publicly available","Microfilm collection: >4,000 microfilms, >150,000 digital pages. ~2,000 titles. No public API identified.",—
https://bond.edu.au/library,https://bond.edu.au/,academic,library,Australia,"Bond University Library",—,—,"Bond University (private university)",small,"200,000 items","200,000+",—,"1,800",—,—,—,—,—,—,—,—,—,"bond.alma.exlibrisgroup.com : 1921",—,—,z39.50,—,"Collection: over 200,000 items, 1,800 journal titles. Z39.50 via Alma."
https://federation.edu.au/library,https://federation.edu.au/,academic,library,Australia,"Federation University Australia Library",—,—,"Federation University Australia (public university)",small,"500,000+ books","500,000+",—,"3,500",—,—,—,—,—,—,—,—,no,"not publicly available",—,—,"not publicly available",—,"Collection: 500,000+ books, 3,500 journals. Also 400,000+ ebooks, 75,000+ ejournals. No Z39.50/API found."
https://glam-workbench.net/,https://glam-workbench.net/,glam,lab,Australia,"GLAM Workbench",—,—,"Tim Sherratt / community-funded (grants incl. ARDC)",small,—,—,—,—,—,—,—,—,—,—,—,—,no,"not publicly available",—,—,"not publicly available",—,"A collection of Jupyter notebooks and tools for working with GLAM (Galleries, Libraries, Archives, Museums) data. Uses APIs of other institutions (Trove, Victorian Heritage Database, etc.). Not a data repository itself."
https://gutenberg.net.au/,https://gutenberg.net.au/,open,library,Australia,"Project Gutenberg Australia",—,yes,"Volunteer-run, unfunded",small,unknown,"5,000+",—,—,—,—,—,—,—,—,—,—,no,"not publicly available",—,—,"not publicly available","Volunteer-run digital library. Over 5,000 ebooks in public domain under Australian copyright. No API.",—
https://library.armadale.wa.gov.au/,https://my.armadale.wa.gov.au/service/,public,library,Australia,"City of Armadale Library Service",—,no,"City of Armadale (local government, WA)",small,"not publicly available",—,—,—,—,—,—,—,—,—,—,—,no,"armadale.spydus.com : 210",—,—,z39.50,—,"Collection: over 100,000 items. Z39.50 via Spydus."
