library website,base url,type,type 2,country,name,available,wildcards,funding ,size,total collection,books,Articles,Journals,gov-docs,dissertations,archival-manuscripts,newspaper-articles,magazines,subset of,duplicate of,original,bulk data,api endpoint,api endpoint 2,api 3,protocol,,
http://asiapacific.anu.edu.au/pambu/,https://asiapacific.anu.edu.au/,academic,archive,Australia,Pacific Manuscripts Bureau,,yes,,small,28 665,,,,,,,,,,,,,,,,,,
https://www.library.gov.au/,https://www.library.gov.au/,national,library,Australia,National Library of Australia,,yes,100 000 000,large,,5 694 146,726 785 262,,,,,,,,,,,,,,,,
https://adelaide.edu.au/library/,https://adelaide.edu.au/,academic,library,Australia,Adelaide University Library,,yes,,medium,435 219 168,2 242 833,158 135 693,,,4 457 386,872 630,25 145 990,29 437 576,,,,yes,ap01.alma.exlibrisgroup.com : 1921,130.220.30.132 : 7090,,z39.50,,
https://librarysearch.unimelb.edu.au,https://www.unimelb.edu.au/,academic,library,Australia,University of Melbourne,,yes,,,,1 767 806,229 253 720,,,,,154 650 372,,,,,,,,,,,
https://national-gallery.primo.exlibrisgroup.com,https://nga.gov.au/,national,archive,Australia,National Gallery of Australia Research Library and Archives,,no,,,,,,,,,,,,,,,,,,,,,
https://slwa.wa.gov.au/,https://www.wa.gov.au/,state,library,Australia,State Library of Western Australia,,yes,,,,965 386,,,,,,,,,,,,,,,,,
https://www.slv.vic.gov.au/,https://www.vic.gov.au/,state,library,Australia,State Library Victoria,,no,,,,,,,,,,,,,,,,,,,,,
https://lant.nt.gov.au/,https://nt.gov.au/,state,library,Australia,Library & Archives NT,,no,,,,,,,,,,,,,,,,,,,,,
https://www.library.act.gov.au/,http://act.gov.au/,state,library,Australia,ACT Heritage Library,,no,,,,,,,,,,,,,,,,,,,,,
https://libraries.tas.gov.au/,http://tas.gov.au/,state,library,Australia,State Library of Tasmania,,no,,,,,,,,,,,,,,,,,,,,,
https://www.catalog.slsa.sa.gov.au/,https://www.sa.gov.au/,state,library,Australia,State Library of South Australia,,yes,,,,,,,,,,308 000 000,,,,,,,,,,,
https://www.sl.nsw.gov.au/,https://www.sa.gov.au/,state,library,Australia,State Library of New South Wales,,,,,,,,,,,,,,,,,,,,,,,
https://gutenberg.net.au/,https://gutenberg.net.au/,open,library,Australia,Project Gutenberg Australia,,,,,,,44 000 000,,,,,,,,,,,,,,,,
https://pandora.nla.gov.au/,https://www.library.gov.au/,national,web archive,Australia,Pandora archive,,,,,,,,,,,,,,,,,,,,,,,
https://webarchive.nla.gov.au/collection?q=,https://www.library.gov.au/,national,web archive,Australia,Australian Web Archive,,,,,,,,,,,,,,,,,,,,,,,
https://trove.nla.gov.au/about-australian-national-bibliographic-database-anbd,https://trove.nla.gov.au/,national,web archive,Australia,TROVE,,,,huge,,,,,,,,20 000 000,,,,,,https://api.trove.nla.gov.au/v3/,https://api.trove.nla.gov.au/v3/trove-api-v3.yaml,https://api.trove.nla.gov.au/v3/,api,,
https://trove.nla.gov.au/about-australian-national-bibliographic-database-anbd,https://trove.nla.gov.au/,national,bibliographic database,Australia,Australian National Bibliographic Database,,,,,,,,,,,,,,,,,,https://api.trove.nla.gov.au/v3/,https://api.trove.nla.gov.au/v3/trove-api-v3.yaml,https://api.trove.nla.gov.au/v3/,api,,
https://anulib.anu.edu.au/,https://www.anu.edu.au/,academic,library,Australia,Australian National University Library,yes,yes,,huge,661 137 142,4 574 917,150 365 425,1 235 975,2 340 298,4 324 434,517 902,359 957 423,34 233 290,,,,yes,http://anulib.anu.edu.au : 80,,,z39.50,,
https://www.acu.edu.au/library,https://www.acu.edu.au/,academic,library,Australia,Australian Catholic University Library,,,,,,,,,,,,,,,,,,,,,,,
https://library.avondale.edu.au/,https://www.avondale.edu.au/,academic,library,Australia,Avondale University Library,,,,,,,,,,,,,,,,,,,,,,,
https://bond.edu.au/library,https://bond.edu.au/,academic,library,Australia,Bond University Library,,,,,,,,,,,,,,,,,, bond.alma.exlibrisgroup.com : 1921  ,,,z39.50,,
https://library.cqu.edu.au/,https://www.cqu.edu.au/,academic,library,Australia,CQUniversity Library,,,,,,,,,,,,,,,,,,,,,,,
https://www.cdu.edu.au/library,https://www.cdu.edu.au/,academic,library,Australia,Charles Darwin University Library,,,,,,,,,,,,,,,,,,,,,,,
https://www.csu.edu.au/division/library,https://www.csu.edu.au/,academic,library,Australia,Charles Sturt University Library,,,,,,,,,,,,,,,,,,,,,,,
https://library.curtin.edu.au/,https://www.curtin.edu.au/,academic,library,Australia,Curtin University Library,,,,,,,,,,,,,,,,,yes,espace.library.curtin.edu.au : 9882,,,z39.50,,
https://www.deakin.edu.au/library,https://www.deakin.edu.au/,academic,library,Australia,Deakin University Library,,,,,,,,,,,,,,,,,,,,,,,
https://www.ecu.edu.au/library,https://www.ecu.edu.au/,academic,library,Australia,Edith Cowan University Library,,,,,,,,,,,,,,,,,,,,,,,
https://federation.edu.au/library,https://federation.edu.au/,academic,library,Australia,Federation University Australia Library,,,,,,,,,,,,,,,,,,,,,,,
https://www.flinders.edu.au/library,https://www.flinders.edu.au/,academic,library,Australia,Flinders University Library,,,,,,,,,,,,,,,,,,flinders.alma.exlibrisgroup.com : 1921,,,z39.50,,
https://www.griffith.edu.au/library,https://www.griffith.edu.au/,academic,library,Australia,Griffith University Library,,,,,,,,,,,,,,,,,, zcat.oclc.org : 210  ,,,z39.50,,
https://www.jcu.edu.au/library,https://www.jcu.edu.au/,academic,library,Australia,James Cook University Library,,,,,,,,,,,,,,,,,,hip.jcu.edu.au : 210  ,,,z39.50,,
https://www.latrobe.edu.au/library,https://www.latrobe.edu.au/,academic,library,Australia,La Trobe University Library,,,,,,,,,,,,,,,,,,,,,,,
https://www.mq.edu.au/about/campus-services-and-facilities/library,https://www.mq.edu.au/,academic,library,Australia,Macquarie University Library,,,,,,,,,,,,,,,,,,,,,,,
https://www.monash.edu/library,https://www.monash.edu/,academic,library,Australia,Monash University Library,,,,,,,,,,,,,,,,,,ap01.alma.exlibrisgroup.com:1921/61MONASH_AU : 1921  ,ap01.alma.exlibrisgroup.com:1921/61MONASH_AU : 1921  ,,z39.50,,
https://www.murdoch.edu.au/library,https://www.murdoch.edu.au/,academic,library,Australia,Murdoch University Library,,,,,,,,,,,,,,,,,,prospero.murdoch.edu.au : 210  ,,,z39.50,,
https://www.nd.edu.au/library,https://www.nd.edu.au/,academic,library,Australia,University of Notre Dame Australia Library,,,,,,,,,,,,,,,,,,203.19.80.215 : 5000  ,,,z39.50,,
https://library.qut.edu.au/,https://www.qut.edu.au/,academic,library,Australia,Queensland University of Technology Library,,,,,,,,,,,,,,,,,,,,,,,
https://www.rmit.edu.au/library,https://www.rmit.edu.au/,academic,library,Australia,RMIT University Library,,,,,,,,,,,,,,,,,,,,,,,
https://www.scu.edu.au/library/,https://www.scu.edu.au/,academic,library,Australia,Southern Cross University Library,,,,,,,,,,,,,,,,,,,,,,,
https://www.swinburne.edu.au/library/,https://www.swinburne.edu.au/,academic,library,Australia,Swinburne University of Technology Library,,,,,,,,,,,,,,,,,yes, ap01.alma.exlibrisgroup.com : 1921  ,,,z39.50,,
https://library.torrens.edu.au/,https://www.torrens.edu.au/,academic,library,Australia,Torrens University Australia Library,,,,,,,,,,,,,,,,,,,,,,,
https://www.canberra.edu.au/library,https://www.canberra.edu.au/,academic,library,Australia,University of Canberra Library,,,,,,,,,,,,,,,,,yes,unknown,,,,,
https://www.une.edu.au/library,https://www.une.edu.au/,academic,library,Australia,University of New England Library,,,,,,,,,,,,,,,,,yes,ap01.alma.exlibrisgroup.com : 1921  ,,,z39.50,,
https://www.library.unsw.edu.au/,https://www.unsw.edu.au/,academic,library,Australia,University of New South Wales Library,yes,yes,,Large,170 089 503,1 627 991,136 634 786,,31 414,139 587 ,192 950,3 865 110,20 071 024,,,,yes, libadfa.adfa.edu.au : 7090  ,,,z39.50,,
https://www.newcastle.edu.au/library,https://www.newcastle.edu.au/,academic,library,Australia,University of Newcastle Library,,,,,,,,,,,,,,,,,,,,,,,
https://web.library.uq.edu.au/,https://www.uq.edu.au/,academic,library,Australia,University of Queensland Library,,,,,,,,,,,,,,,,,,,,,,,
https://www.unisa.edu.au/library/,https://www.unisa.edu.au/,academic,library,Australia,University of South Australia Library,,,,,,,,,,,,,,,,,yes, ap01.alma.exlibrisgroup.com : 1921  ,,,z39.50,,
https://www.unisq.edu.au/library,https://www.unisq.edu.au/,academic,library,Australia,University of Southern Queensland Library,,,,,,,,,,,,,,,,,,,,,,,
https://www.library.sydney.edu.au/,https://www.sydney.edu.au/,academic,library,Australia,University of Sydney Library,,,,,,,,,,,,,,,,,yes, 129.78.139.7 : 210  ,,,z39.50,,
https://www.utas.edu.au/library,https://www.utas.edu.au/,academic,library,Australia,University of Tasmania Library,,,,,,,,,,,,,,,,,,,,,,,
https://www.uts.edu.au/library,https://www.uts.edu.au/,academic,library,Australia,University of Technology Sydney Library,,,,,,,,,,,,,,,,,yes,linus.lib.uts.edu.au : 210  ,,,z39.50,,
https://www.unisc.edu.au/library,https://www.unisc.edu.au/,academic,library,Australia,University of the Sunshine Coast Library,,,,,,,,,,,,,,,,,,,,,,,
https://www.uwa.edu.au/library,https://www.uwa.edu.au/,academic,library,Australia,University of Western Australia Library,,,,,,,,,,,,249764270,,,,,yes, ap02.alma.exlibrisgroup.com : 1921  ,,,z39.50,,
https://www.uow.edu.au/library/,https://www.uow.edu.au/,academic,library,Australia,University of Wollongong Library,,,,,,,,,,,,,,,,,yes, woll.iii.com : 210  ,,,z39.50,,
https://www.vu.edu.au/library,https://www.vu.edu.au/,academic,library,Australia,Victoria University Library,,,,,,,,,,,,,,,,,yes, library.vu.edu.au : 210  ,,,z39.50,,
https://www.westernsydney.edu.au/library,https://www.westernsydney.edu.au/,academic,library,Australia,Western Sydney University Library,,,,,,,,,,,,,,,,,,,,,,,
https://www.divinity.edu.au/library/,https://www.divinity.edu.au/,academic,library,Australia,University of Divinity Library,,,,,,,,,,,,,,,,,,,,,,,
https://archives.anu.edu.au/,https://www.anu.edu.au/,academic,archive,Australia,Australian National University Library,,,,,,,,,,,269727,,,,,,,,,,,,
https://www.bom.gov.au/library/,https://www.bom.gov.au/,national,library,Australia,National Meteorological Library,,,,,,,,,,,,,,Trove,Trove,,,,,,,,
https://www.austlii.edu.au/,https://www.austlii.edu.au/,Legal,database,Australia,AustLII Australasian Legal Information Institute,yes,,,,,,,,,,,,,,,,yes,"query works and agents/authors, returns JSON",Works and agents/authors (only one data type per query),,rest api,,
https://www.ala.org.au/,https://www.ala.org.au/,national,database,Australia,Atlas of Living Australia ,yes,yes,,,,,,,,,,,,,,,,,,,,,
https://ada.edu.au/,https://ada.edu.au/,national,archive,Australia,Australian Data Archive,yes,,,,,,,,,,,,,,,,,,,,,,
https://parlinfo.aph.gov.au,https://www.aph.gov.au/,national,archive,Australia,Parliament of Australia,yes,yes,,,,,,,,,,,,,,,,,,,,,
https://researchdata.edu.au/,https://researchdata.edu.au/,national,archive,Australia,Research Data Australia,yes,yes,,,,,,,,,,,,,,,,https://researchdata.edu.au/api/v2.0/registry/activities?api_key={apiKey}&{params},http://researchdata.edu.au/registry/services/{API_KEY}/getMetadata?{params},https://researchdata.edu.au/api/registry/oai,web api,,
https://researchers.mq.edu.au/en/datasets/,https://researchers.mq.edu.au/en/datasets/,academic,datasets,Australia,Macquarie University,,,,,,,,,,,,,,,,,yes, mq.alma.exlibrisgroup.com : 1921  ,,,z39.50,,
https://sydneycorpuslab.com/,https://sydneycorpuslab.com/,research lab,datasets,Australia,Sydney Corpus Lab,,,,,,,,,,,,,,,,,,,,,,,
https://www.nfsa.gov.au/,,national,media,Australia,National Film and Sound Archive of Australia ,,,,,,,,,,,,,,,,,,,,,,,
https://www.abs.gov.au/,,national,datasets,Australia,Australian Bureau of Statistics,,,,,,,,,,,,,,,,,yes,https://abs.gov.au/servlet/TSSearchServlet?,,,web api,,
https://www.ga.gov.au/,,national,,Australia,Geoscience Australia,,,,,,,,,,,,,,,,,,,,,,,
https://data.gov.au/,,national,,Australia,Australian open government data,,,,,,,,,,,,,,,,,,https://data.gov.au/data/api/3/action,,,web api,,
https://www.legislation.gov.au/,,national,,Australia,Federal Register of Legislation,,,,,,,,,,,,,,,,,,,,,,,
https://www.ipaustralia.gov.au/,,national,,Australia,Australian intellectual property (IP),,,,,,,,,,,,,,,,,yes,https://portal.api.ipaustralia.gov.au/,https://ipfirstresponse.ipaustralia.gov.au/options-data-feed,,mulesoft anypoint,,
https://www.austlit.edu.au/austlit/page/5961938,https://www.austlit.edu.au/,national,,Australia,AustLit,,,,,,,,,,,,,,,,,,,,,,,
https://www.ausstage.edu.au/,,national,,Australia,Australian Live Performance Database,,,,,,,,,,,,,,,,,,,,,,,
https://www.ldaca.edu.au/,,national,,Australia,Language Data Commons of Australia,,,,,,,,,,,,,,,,,,,,,,,
https://data.csiro.au/,,national,,Australia,Australia's National Science Agency.,,,,,,,,,,,,,,,,,yes, voyager.its.csiro.au : 7090  ,https://data.csiro.au/dap/ws/v2/collections,https://data.csiro.au/dap/swagger-ui.html#/,z39.50,,
https://data.aad.gov.au/,,national,,Australia,Australian Antarctic Data Centre,,,,,,,,,,,,,,,,,,http://data.aad.gov.au/aadc/metadata,https://data.aad.gov.au/,,,,
https://www.records.nsw.gov.au/,,state,,Australia,NSW State Archives Collection,,,,,,,,,,,,,,,,,,,,,,,
