library website,base url,type,type 2,country,name,available,wildcards,funding,size,total collection,books,Articles,Journals,gov-docs,dissertations,archival-manuscripts,newspaper-articles,magazines,subset of,duplicate of,original,bulk data,api endpoint,api endpoint 2,api 3,protocol,AI Notes 1,AI Notes 2
https://trove.nla.gov.au/about-australian-national-bibliographic-database-anbd,https://trove.nla.gov.au/,national,bibliographic database,Australia,Australian National Bibliographic Database,,,,huge,,,,,,,,,,trove,trove,no,,https://api.trove.nla.gov.au/v3/,https://api.trove.nla.gov.au/v3/trove-api-v3.yaml,https://api.trove.nla.gov.au/v3/,api,,Part of Trove. National bibliographic database. API available via Trove v3.
https://trove.nla.gov.au/about-australian-national-bibliographic-database-anbd,https://trove.nla.gov.au/,national,web archive,Australia,TROVE,,,,huge,,,,,,,,20000000,,,,,,https://api.trove.nla.gov.au/v3/,https://api.trove.nla.gov.au/v3/trove-api-v3.yaml,https://api.trove.nla.gov.au/v3/,api,,"Trove is the National Library of Australia's discovery platform. Includes newspapers, books, images, maps, music, archives, and websites. API v3 available."
https://www.ala.org.au/,https://www.ala.org.au/,national,database,Australia,Atlas of Living Australia,,yes,,huge,,,,,,,,,,,,,no,https://api.ala.org.au (docs.ala.org.au),,,rest api,,"National biodiversity database. Aggregates Australian biodiversity data. Provides REST APIs (JSON, XML, CSV, WMS)."
https://anulib.anu.edu.au/,https://www.anu.edu.au/,academic,library,Australia,Australian National University Library,,yes,,huge,,4574917,150365425,1235975,2340298,4324434,517902,359957423,34233290,,,,yes,http://anulib.anu.edu.au : 80,,,z39.50,,"Collection: over 1.5 million books, 62 km of shelving. Z39.50 via ANU Library."
https://archives.anu.edu.au/,https://www.anu.edu.au/,academic,archive,Australia,Australian National University Library,,,,huge,,,,,,,269727,,,,,,no,not publicly available,,,not publicly available,,"Archives component of ANU Library. Holds 269,727 archival-manuscript items (from CSV). No separate API identified."
https://www.library.gov.au/,https://www.library.gov.au/,national,library,Australia,National Library of Australia,,yes,,huge,,,,,,,,,,,,,no,,,,,,Collection: ~10 million items. Trove provides API access.
https://www.abs.gov.au/,https://www.abs.gov.au/,national,datasets,Australia,Australian Bureau of Statistics,,,,huge,,,,,,,,,,,,,yes,https://abs.gov.au/servlet/TSSearchServlet?,,,web api,,"Provides SDMX API, Data API, Indicator API, Time Series Directory API."
https://australian.museum/,https://australian.museum/,national,glam,Australia,Australian Museum,,,,huge,,,,,,,,,,,,,no,not publicly available,,,not publicly available,,Collection: >22 million objects. No public API identified (data accessible via Atlas of Living Australia).
https://researchdata.edu.au/,https://researchdata.edu.au/,national,archive,Australia,Research Data Australia,yes,yes,,large,,,,,,,,,,,,,yes,https://researchdata.edu.au/api/v2.0/registry/activities?api_key={apiKey}&{params},http://researchdata.edu.au/registry/services/{API_KEY}/getMetadata?{params},https://researchdata.edu.au/api/registry/oai,web api,,ARDC metadata registry. Provides REST APIs for accessing research data descriptions.
https://parlinfo.aph.gov.au,https://www.aph.gov.au/,national,archive,Australia,Parliament of Australia,yes,yes,,large,,,,,,,,,,,,,no,not publicly available,,,not publicly available,,"Parliamentary information system. Provides access to Hansard, bills, committees, etc. API access via OpenAustralia.org and other third-party tools. No official public API documented."
https://www.austlii.edu.au/,https://www.austlii.edu.au/,Legal,database,Australia,AustLII Australasian Legal Information Institute,yes,,,large,,,,,,,,,,,,,yes,,,,rest api (sino cgi),,Free online database of Australian legal information. Provides SINO CGI API for searching case law and legislation.
https://www.monash.edu/library,https://www.monash.edu/,academic,library,Australia,Monash University Library,,,,large,,,,,,,,,,,,,,ap01.alma.exlibrisgroup.com:1921/61MONASH_AU : 1921,ap01.alma.exlibrisgroup.com:1921/61MONASH_AU : 1921,,z39.50,,Z39.50 via Alma.
https://www.library.sydney.edu.au/,https://www.sydney.edu.au/,academic,library,Australia,University of Sydney Library,,,,large,,5100000,,70000,,,,,,,,,yes,129.78.139.7 : 210,,,z39.50,,"Largest academic library in Southern Hemisphere. Collection: 5.1 million print items, 70,000 e-journals. Z39.50 via Fisher Library."
https://www.library.unsw.edu.au/,https://www.unsw.edu.au/,academic,library,Australia,University of New South Wales Library,yes,yes,,large,,1627991,136634786,,31414,139587,192950,3865110,20071024,,,,yes,libadfa.adfa.edu.au : 7090,,,z39.50,,Collection: 2 million books. Z39.50 via UNSW Library.
https://www.slv.vic.gov.au/,https://www.vic.gov.au/,state,library,Australia,State Library Victoria,,no,,large,,2000000,,,,,,,,,,,no,not publicly available,,,not publicly available,,Collection: over 4.5 million items. Over 2 million books. No public Z39.50/API found.
https://www.archives.qld.gov.au/,,state,,Australia,Queensland State Archives,,,,large,,,,,,,,,,,,,no,not publicly available,,,not publicly available,,"Collection: 3.5+ million records, 70 linear km. No API found."
https://www.ipaustralia.gov.au/,,national,,Australia,Australian intellectual property (IP),,,,large,,,,,,,,,,,,,yes,https://portal.api.ipaustralia.gov.au/,https://ipfirstresponse.ipaustralia.gov.au/options-data-feed,,mulesoft anypoint,,"IP Australia APIs for patents, trademarks, designs. REST APIs via MuleSoft. Data feed available."
https://www.nfsa.gov.au/,,national,media,Australia,National Film and Sound Archive of Australia,,,,large,,,,,,,,,,,,,no,not publicly available,,,not publicly available,,Collection: 4+ million items. No public API identified.
https://www.records.nsw.gov.au/,,state,,Australia,NSW State Archives Collection,,,,large,,,,,,,,,,,,,no,not publicly available,,,not publicly available,,"Collection: 14+ million items, 89 linear km. No public API identified."
